number,weight,nonce,hash,fee_reward,total_transactions
590854,3046411,3011667918,24,995,1924
590855,3889269,13345956,20,2494,3030
590856,3993248,306009238,20,5417,794
590857,3993226,3906562164,24,3166,2871
590858,2804500,4039078516,22,1585,2194
590859,1843018,73949521,25,1413,1499
590860,3241574,2820500915,21,2197,2601
590861,3993133,984256131,22,5147,2610
590862,3478655,4086221188,24,1088,2352
590863,3993065,1297770475,27,2947,3066
590864,3993546,2419436752,21,3694,2517
590865,1941506,2315679840,23,925,1565
590866,857497,4118636810,26,699,751
590867,168465,2061673741,22,178,131
590868,3998582,3770398524,25,3410,3431
590869,3993347,250616325,22,2923,2774
590870,3993348,3668849984,22,3448,2427
590871,3993218,901791811,21,5339,2711
590872,3993115,302290561,22,1903,1762
590873,3992971,3779326700,23,2434,3211
590874,3998426,1502714100,24,2498,2559
590875,3446266,3751347749,25,2088,2286
590876,3745601,2623955687,24,2828,2583
590877,3992832,4217137634,20,3928,3344
590878,2081841,1766163658,24,1060,1486
590879,2002614,3083683977,20,1704,650
590880,2745388,940638352,23,2122,1929
590881,2614287,2458659161,23,2052,1988
590882,1370450,1380172625,25,1033,1115
590883,2212994,512870930,23,1755,1668
590884,2887941,3318444130,24,2975,2272
590885,3334497,1772221681,25,2216,1988
590886,1673236,4075751349,22,1319,1155
590887,103073,3572920096,20,71,88
590888,3993343,3025678233,26,5213,2887
590889,2942677,2012312610,22,1141,2188
590890,2280933,3448240320,22,1949,1727
590891,1554045,243788266,20,1408,1229
590892,367550,1735541260,25,291,283
590893,1898179,1444453968,24,1626,1479
590894,2438481,365433205,22,2046,1887
590895,346975,1676127661,20,305,279
590896,3313522,566057228,20,2599,2334
590897,3993241,379195913,28,4891,2620
590898,2323148,3721613663,22,373,1578
590899,835476,1768446276,20,807,562
590900,713910,2931398309,24,668,512
590901,3993321,3306172712,21,3693,2627
590902,3992939,1256403996,22,3796,2568
590903,1440947,4126599173,23,188,1200
590904,1608504,2626401446,21,1427,1081
590905,1436293,761237453,26,1284,1192
590906,201944,2255820486,20,170,160
